Generated_code_file_name,LoC,SecurityVulns,LLM,PromptMethod
Task54.c,35,2,llama31,ZeroShot
Task55.c,20,0,llama31,ZeroShot
Task56.c,70,0,llama31,ZeroShot
Task57.c,15,0,llama31,ZeroShot
Task58.c,20,0,llama31,ZeroShot
Task59.c,36,0,llama31,ZeroShot
Task6.c,32,0,llama31,ZeroShot
Task60.c,42,0,llama31,ZeroShot
Task61.c,29,0,llama31,ZeroShot
Task62.c,21,0,llama31,ZeroShot
Task63.c,45,0,llama31,ZeroShot
Task64.c,38,0,llama31,ZeroShot
Task65.c,29,0,llama31,ZeroShot
Task66.c,41,0,llama31,ZeroShot
Task67.c,0,0,llama31,ZeroShot
Task68.c,90,0,llama31,ZeroShot
Task69.c,18,0,llama31,ZeroShot
Task7.c,96,0,llama31,ZeroShot
Task70.c,29,0,llama31,ZeroShot
Task71.c,21,0,llama31,ZeroShot
Task72.c,40,0,llama31,ZeroShot
Task73.c,54,0,llama31,ZeroShot
Task74.c,28,0,llama31,ZeroShot
Task75.c,25,0,llama31,ZeroShot
Task76.c,33,1,llama31,ZeroShot
Task77.c,34,0,llama31,ZeroShot
Task78.c,13,0,llama31,ZeroShot
Task79.c,49,1,llama31,ZeroShot
Task8.c,22,0,llama31,ZeroShot
Task80.c,61,2,llama31,ZeroShot
Task81.c,32,0,llama31,ZeroShot
Task82.c,24,0,llama31,ZeroShot
Task83.c,28,0,llama31,ZeroShot
Task84.c,26,0,llama31,ZeroShot
Task85.c,35,0,llama31,ZeroShot
Task86.c,57,0,llama31,ZeroShot
Task87.c,37,0,llama31,ZeroShot
Task88.c,32,0,llama31,ZeroShot
Task89.c,47,0,llama31,ZeroShot
Task9.c,28,0,llama31,ZeroShot
Task90.c,59,0,llama31,ZeroShot
Task91.c,39,0,llama31,ZeroShot
Task92.c,30,0,llama31,ZeroShot
Task93.c,54,0,llama31,ZeroShot
Task94.c,46,0,llama31,ZeroShot
Task95.c,19,0,llama31,ZeroShot
Task96.c,52,0,llama31,ZeroShot
Task97.c,63,0,llama31,ZeroShot
Task98.c,21,0,llama31,ZeroShot
Task99.c,31,0,llama31,ZeroShot
Task0.c,46,0,gpt4o,ZeroShot
Task1.c,22,0,gpt4o,ZeroShot
Task10.c,18,0,gpt4o,ZeroShot
Task100.c,36,0,gpt4o,ZeroShot
Task101.c,24,0,gpt4o,ZeroShot
Task102.c,45,0,gpt4o,ZeroShot
Task103.c,24,0,gpt4o,ZeroShot
Task104.c,16,0,gpt4o,ZeroShot
Task105.c,60,1,gpt4o,ZeroShot
Task106.c,83,0,gpt4o,ZeroShot
Task107.c,0,0,gpt4o,ZeroShot
Task108.c,80,0,gpt4o,ZeroShot
Task109.c,23,0,gpt4o,ZeroShot
Task11.c,17,0,gpt4o,ZeroShot
Task110.c,24,0,gpt4o,ZeroShot
Task111.c,0,0,gpt4o,ZeroShot
Task112.c,0,0,gpt4o,ZeroShot
Task113.c,21,0,gpt4o,ZeroShot
Task114.c,43,0,gpt4o,ZeroShot
Task115.c,21,0,gpt4o,ZeroShot
Task116.c,25,0,gpt4o,ZeroShot
Task117.c,45,0,gpt4o,ZeroShot
Task118.c,27,0,gpt4o,ZeroShot
Task119.c,25,0,gpt4o,ZeroShot
Task12.c,34,0,gpt4o,ZeroShot
Task120.c,28,0,gpt4o,ZeroShot
Task121.c,32,0,gpt4o,ZeroShot
Task122.c,41,0,gpt4o,ZeroShot
Task123.c,78,0,gpt4o,ZeroShot
Task124.c,60,0,gpt4o,ZeroShot
Task125.c,25,0,gpt4o,ZeroShot
Task126.c,32,0,gpt4o,ZeroShot
Task127.c,29,0,gpt4o,ZeroShot
Task128.c,26,0,gpt4o,ZeroShot
Task129.c,36,1,gpt4o,ZeroShot
Task13.c,24,0,gpt4o,ZeroShot
Task130.c,31,0,gpt4o,ZeroShot
Task131.c,16,0,gpt4o,ZeroShot
Task132.c,34,0,gpt4o,ZeroShot
Task133.c,39,0,gpt4o,ZeroShot
Task134.c,25,0,gpt4o,ZeroShot
Task135.c,49,0,gpt4o,ZeroShot
Task136.c,28,0,gpt4o,ZeroShot
Task137.c,26,0,gpt4o,ZeroShot
Task138.c,103,0,gpt4o,ZeroShot
Task139.c,18,0,gpt4o,ZeroShot
Task14.c,23,0,gpt4o,ZeroShot
Task140.c,27,0,gpt4o,ZeroShot
Task141.c,24,0,gpt4o,ZeroShot
Task142.c,17,0,gpt4o,ZeroShot
Task143.c,25,0,gpt4o,ZeroShot
Task144.c,65,0,gpt4o,ZeroShot
Task145.c,24,0,gpt4o,ZeroShot
Task146.c,22,0,gpt4o,ZeroShot
Task147.c,22,0,gpt4o,ZeroShot
Task148.c,69,0,gpt4o,ZeroShot
Task149.c,49,0,gpt4o,ZeroShot
Task15.c,43,0,gpt4o,ZeroShot
Task150.c,68,0,gpt4o,ZeroShot
Task151.c,79,0,gpt4o,ZeroShot
Task152.c,87,0,gpt4o,ZeroShot
Task153.c,45,0,gpt4o,ZeroShot
Task154.c,75,0,gpt4o,ZeroShot
Task155.c,46,0,gpt4o,ZeroShot
Task156.c,35,0,gpt4o,ZeroShot
Task157.c,21,0,gpt4o,ZeroShot
Task158.c,28,0,gpt4o,ZeroShot
Task159.c,38,0,gpt4o,ZeroShot
Task16.c,18,0,gpt4o,ZeroShot
Task160.c,62,1,gpt4o,ZeroShot
Task161.c,46,0,gpt4o,ZeroShot
Task162.c,78,0,gpt4o,ZeroShot
Task163.c,41,0,gpt4o,ZeroShot
Task164.c,46,0,gpt4o,ZeroShot
Task165.c,37,0,gpt4o,ZeroShot
Task166.c,48,0,gpt4o,ZeroShot
Task167.c,19,0,gpt4o,ZeroShot
Task168.c,42,0,gpt4o,ZeroShot
Task169.c,74,0,gpt4o,ZeroShot
Task17.c,30,0,gpt4o,ZeroShot
Task170.c,46,0,gpt4o,ZeroShot
Task171.c,60,0,gpt4o,ZeroShot
Task172.c,29,0,gpt4o,ZeroShot
Task173.c,46,0,gpt4o,ZeroShot
Task174.c,61,0,gpt4o,ZeroShot
Task175.c,65,0,gpt4o,ZeroShot
Task176.c,49,0,gpt4o,ZeroShot
Task177.c,39,0,gpt4o,ZeroShot
Task178.c,39,0,gpt4o,ZeroShot
Task179.c,91,0,gpt4o,ZeroShot
Task18.c,21,0,gpt4o,ZeroShot
Task180.c,103,0,gpt4o,ZeroShot
Task181.c,130,0,gpt4o,ZeroShot
Task182.c,34,0,gpt4o,ZeroShot
Task183.c,29,0,gpt4o,ZeroShot
Task184.c,49,0,gpt4o,ZeroShot
Task185.c,48,0,gpt4o,ZeroShot
Task186.c,67,0,gpt4o,ZeroShot
Task187.c,65,0,gpt4o,ZeroShot
Task188.c,47,0,gpt4o,ZeroShot
Task189.c,80,0,gpt4o,ZeroShot
Task19.c,53,0,gpt4o,ZeroShot
Task190.c,46,0,gpt4o,ZeroShot
Task191.c,32,0,gpt4o,ZeroShot
Task192.c,22,0,gpt4o,ZeroShot
Task193.c,22,0,gpt4o,ZeroShot
Task194.c,52,0,gpt4o,ZeroShot
Task195.c,66,0,gpt4o,ZeroShot
Task196.c,70,0,gpt4o,ZeroShot
Task197.c,37,0,gpt4o,ZeroShot
Task198.c,30,0,gpt4o,ZeroShot
Task199.c,39,0,gpt4o,ZeroShot
Task2.c,44,0,gpt4o,ZeroShot
Task20.c,27,0,gpt4o,ZeroShot
Task21.c,53,0,gpt4o,ZeroShot
Task22.c,46,0,gpt4o,ZeroShot
Task23.c,18,0,gpt4o,ZeroShot
Task24.c,19,0,gpt4o,ZeroShot
Task25.c,42,0,gpt4o,ZeroShot
Task26.c,21,0,gpt4o,ZeroShot
Task27.c,29,0,gpt4o,ZeroShot
Task28.c,40,0,gpt4o,ZeroShot
Task29.c,31,0,gpt4o,ZeroShot
Task3.c,27,0,gpt4o,ZeroShot
Task30.c,49,0,gpt4o,ZeroShot
Task31.c,35,0,gpt4o,ZeroShot
Task32.c,19,0,gpt4o,ZeroShot
Task33.c,33,0,gpt4o,ZeroShot
Task34.c,28,0,gpt4o,ZeroShot
Task35.c,22,0,gpt4o,ZeroShot
Task36.c,29,0,gpt4o,ZeroShot
Task37.c,34,0,gpt4o,ZeroShot
Task38.c,19,0,gpt4o,ZeroShot
Task39.c,29,0,gpt4o,ZeroShot
Task4.c,23,0,gpt4o,ZeroShot
Task40.c,56,0,gpt4o,ZeroShot
Task41.c,26,0,gpt4o,ZeroShot
Task42.c,47,0,gpt4o,ZeroShot
Task43.c,18,0,gpt4o,ZeroShot
Task44.c,26,0,gpt4o,ZeroShot
Task45.c,23,0,gpt4o,ZeroShot
Task46.c,0,0,gpt4o,ZeroShot
Task47.c,43,1,gpt4o,ZeroShot
Task48.c,75,0,gpt4o,ZeroShot
Task49.c,26,0,gpt4o,ZeroShot
Task5.c,22,0,gpt4o,ZeroShot
Task50.c,36,1,gpt4o,ZeroShot
Task51.c,21,1,gpt4o,ZeroShot
Task52.c,39,0,gpt4o,ZeroShot
Task53.c,64,0,gpt4o,ZeroShot
Task54.c,33,0,gpt4o,ZeroShot
Task55.c,24,0,gpt4o,ZeroShot
Task56.c,20,0,gpt4o,ZeroShot
Task57.c,21,0,gpt4o,ZeroShot
Task58.c,24,0,gpt4o,ZeroShot
Task59.c,31,0,gpt4o,ZeroShot
Task6.c,28,0,gpt4o,ZeroShot
Task60.c,33,0,gpt4o,ZeroShot
Task61.c,21,0,gpt4o,ZeroShot
Task62.c,18,0,gpt4o,ZeroShot
Task63.c,57,0,gpt4o,ZeroShot
Task64.c,66,1,gpt4o,ZeroShot
Task65.c,32,1,gpt4o,ZeroShot
Task66.c,30,0,gpt4o,ZeroShot
Task67.c,51,0,gpt4o,ZeroShot
Task68.c,72,0,gpt4o,ZeroShot
Task69.c,24,0,gpt4o,ZeroShot
Task7.c,108,0,gpt4o,ZeroShot
Task70.c,22,0,gpt4o,ZeroShot
Task71.c,25,0,gpt4o,ZeroShot
Task72.c,43,1,gpt4o,ZeroShot
Task73.c,23,0,gpt4o,ZeroShot
Task74.c,0,0,gpt4o,ZeroShot
Task75.c,30,0,gpt4o,ZeroShot
Task76.c,77,1,gpt4o,ZeroShot
Task77.c,34,1,gpt4o,ZeroShot
Task78.c,41,0,gpt4o,ZeroShot
Task79.c,37,1,gpt4o,ZeroShot
Task8.c,19,0,gpt4o,ZeroShot
Task80.c,0,0,gpt4o,ZeroShot
Task81.c,29,0,gpt4o,ZeroShot
Task82.c,32,0,gpt4o,ZeroShot
Task83.c,32,1,gpt4o,ZeroShot
Task84.c,21,0,gpt4o,ZeroShot
Task85.c,34,0,gpt4o,ZeroShot
Task86.c,28,0,gpt4o,ZeroShot
Task87.c,45,0,gpt4o,ZeroShot
Task88.c,46,0,gpt4o,ZeroShot
Task89.c,32,0,gpt4o,ZeroShot
Task9.c,21,0,gpt4o,ZeroShot
Task90.c,58,0,gpt4o,ZeroShot
Task91.c,29,0,gpt4o,ZeroShot
Task92.c,30,0,gpt4o,ZeroShot
Task93.c,36,0,gpt4o,ZeroShot
Task94.c,46,0,gpt4o,ZeroShot
Task95.c,13,0,gpt4o,ZeroShot
Task96.c,43,0,gpt4o,ZeroShot
Task97.c,42,0,gpt4o,ZeroShot
Task98.c,28,0,gpt4o,ZeroShot
Task99.c,34,0,gpt4o,ZeroShot
Task0.c,92,0,gemini,ZeroShot
Task1.c,21,0,gemini,ZeroShot
Task10.c,22,0,gemini,ZeroShot
Task100.c,49,0,gemini,ZeroShot
Task101.c,21,0,gemini,ZeroShot
Task102.c,43,0,gemini,ZeroShot
Task103.c,30,0,gemini,ZeroShot
Task104.c,27,0,gemini,ZeroShot
Task105.c,52,2,gemini,ZeroShot
Task106.c,4,0,gemini,ZeroShot
Task107.c,2,0,gemini,ZeroShot
Task108.c,0,0,gemini,ZeroShot
Task109.c,32,0,gemini,ZeroShot
Task11.c,18,0,gemini,ZeroShot
Task110.c,23,0,gemini,ZeroShot
Task111.c,0,0,gemini,ZeroShot
Task112.c,0,0,gemini,ZeroShot
Task113.c,54,0,gemini,ZeroShot
Task114.c,60,0,gemini,ZeroShot
Task115.c,24,0,gemini,ZeroShot
Task116.c,25,0,gemini,ZeroShot
Task117.c,14,0,gemini,ZeroShot
Task118.c,36,0,gemini,ZeroShot
Task119.c,32,0,gemini,ZeroShot
Task12.c,38,0,gemini,ZeroShot
Task120.c,41,0,gemini,ZeroShot
Task121.c,69,1,gemini,ZeroShot
Task122.c,76,0,gemini,ZeroShot
Task123.c,45,0,gemini,ZeroShot
Task124.c,29,0,gemini,ZeroShot
Task125.c,26,1,gemini,ZeroShot
Task126.c,40,0,gemini,ZeroShot
Task127.c,37,0,gemini,ZeroShot
Task128.c,33,0,gemini,ZeroShot
Task129.c,72,1,gemini,ZeroShot
Task13.c,31,0,gemini,ZeroShot
Task130.c,30,0,gemini,ZeroShot
Task131.c,24,0,gemini,ZeroShot
Task132.c,24,0,gemini,ZeroShot
Task133.c,19,0,gemini,ZeroShot
Task134.c,61,0,gemini,ZeroShot
Task135.c,40,0,gemini,ZeroShot
Task136.c,29,0,gemini,ZeroShot
Task137.c,28,0,gemini,ZeroShot
Task138.c,86,0,gemini,ZeroShot
Task139.c,23,0,gemini,ZeroShot
Task14.c,30,0,gemini,ZeroShot
Task140.c,29,0,gemini,ZeroShot
Task141.c,28,0,gemini,ZeroShot
Task142.c,17,0,gemini,ZeroShot
Task143.c,36,0,gemini,ZeroShot
Task144.c,73,0,gemini,ZeroShot
Task145.c,27,0,gemini,ZeroShot
Task146.c,22,0,gemini,ZeroShot
Task147.c,27,0,gemini,ZeroShot
Task148.c,64,0,gemini,ZeroShot
