owner,repo,alert_number,alert_url,state,created_at,updated_at,dismissed_at,dismissed_by,dismissed_reason,rule_id,rule_name,rule_description,severity_security,severity_rule,tool_name,tool_version,weaknesses,tags,message_text,file_path,start_line,end_line,ref,commit_sha,instances_url,rule_help_url,severity
mohsystem,llm-generated-code-python-paper3,702,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/702,open,2025-10-27T21:30:41Z,2025-10-27T21:30:41Z,,,,py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,medium,error,CodeQL,2.23.3,CWE-209|CWE-497,external/cwe/cwe-209|external/cwe/cwe-497|security,Stack trace information flows to this location and may be exposed to an external user.,output/benchmark/LLMSecEval/Vanilla/openai/Lse66.py,56,56,refs/heads/master,27da386677f8cba6fc3f16196d49b8685fa21feb,https://api.github.com/repos/mohsystem/llm-generated-code-python-paper3/code-scanning/alerts/702/instances,,medium
mohsystem,llm-generated-code-python-paper3,701,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/701,open,2025-10-27T21:30:41Z,2025-10-27T21:30:41Z,,,,py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,medium,error,CodeQL,2.23.3,CWE-209|CWE-497,external/cwe/cwe-209|external/cwe/cwe-497|security,Stack trace information flows to this location and may be exposed to an external user.,output/benchmark/LLMSecEval/Vanilla/openai/Lse66.py,54,54,refs/heads/master,27da386677f8cba6fc3f16196d49b8685fa21feb,https://api.github.com/repos/mohsystem/llm-generated-code-python-paper3/code-scanning/alerts/701/instances,,medium
mohsystem,llm-generated-code-python-paper3,700,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/700,open,2025-10-27T21:30:41Z,2025-10-27T21:30:41Z,,,,py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,medium,error,CodeQL,2.23.3,CWE-209|CWE-497,external/cwe/cwe-209|external/cwe/cwe-497|security,Stack trace information flows to this location and may be exposed to an external user.,output/benchmark/LLMSecEval/ZeroShot/openai/Lse66.py,91,91,refs/heads/master,27da386677f8cba6fc3f16196d49b8685fa21feb,https://api.github.com/repos/mohsystem/llm-generated-code-python-paper3/code-scanning/alerts/700/instances,,medium
mohsystem,llm-generated-code-python-paper3,699,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/699,open,2025-10-27T21:30:41Z,2025-10-27T21:30:41Z,,,,py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,medium,error,CodeQL,2.23.3,CWE-209|CWE-497,external/cwe/cwe-209|external/cwe/cwe-497|security,Stack trace information flows to this location and may be exposed to an external user.,output/benchmark/LLMSecEval/Vanilla/openai/Lse48.py,22,22,refs/heads/master,27da386677f8cba6fc3f16196d49b8685fa21feb,https://api.github.com/repos/mohsystem/llm-generated-code-python-paper3/code-scanning/alerts/699/instances,,medium
mohsystem,llm-generated-code-python-paper3,698,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/698,open,2025-10-27T21:30:41Z,2025-10-27T21:30:41Z,,,,py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,medium,error,CodeQL,2.23.3,CWE-209|CWE-497,external/cwe/cwe-209|external/cwe/cwe-497|security,Stack trace information flows to this location and may be exposed to an external user.,output/benchmark/LLMSecEval/ZeroShot/gemini/Lse112.py,61,61,refs/heads/master,27da386677f8cba6fc3f16196d49b8685fa21feb,https://api.github.com/repos/mohsystem/llm-generated-code-python-paper3/code-scanning/alerts/698/instances,,medium
mohsystem,llm-generated-code-python-paper3,697,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/697,open,2025-10-27T21:30:41Z,2025-10-27T21:30:41Z,,,,py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,medium,error,CodeQL,2.23.3,CWE-209|CWE-497,external/cwe/cwe-209|external/cwe/cwe-497|security,Stack trace information flows to this location and may be exposed to an external user.,output/benchmark/LLMSecEval/ourMethod/gemini/Lse112.py,54,54,refs/heads/master,27da386677f8cba6fc3f16196d49b8685fa21feb,https://api.github.com/repos/mohsystem/llm-generated-code-python-paper3/code-scanning/alerts/697/instances,,medium
mohsystem,llm-generated-code-python-paper3,696,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/696,open,2025-10-27T21:30:41Z,2025-10-27T21:30:41Z,,,,py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,medium,error,CodeQL,2.23.3,CWE-209|CWE-497,external/cwe/cwe-209|external/cwe/cwe-497|security,Stack trace information flows to this location and may be exposed to an external user.,output/benchmark/LLMSecEval/Vanilla/gemini/Lse112.py,58,58,refs/heads/master,27da386677f8cba6fc3f16196d49b8685fa21feb,https://api.github.com/repos/mohsystem/llm-generated-code-python-paper3/code-scanning/alerts/696/instances,,medium
mohsystem,llm-generated-code-python-paper3,695,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/695,open,2025-10-27T21:30:41Z,2025-10-27T21:30:41Z,,,,py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,medium,error,CodeQL,2.23.3,CWE-209|CWE-497,external/cwe/cwe-209|external/cwe/cwe-497|security,Stack trace information flows to this location and may be exposed to an external user.,output/benchmark/LLMSecEval/CoT/claude/Lse111.py,47,47,refs/heads/master,27da386677f8cba6fc3f16196d49b8685fa21feb,https://api.github.com/repos/mohsystem/llm-generated-code-python-paper3/code-scanning/alerts/695/instances,,medium
mohsystem,llm-generated-code-python-paper3,694,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/694,open,2025-10-27T21:30:41Z,2025-10-27T21:30:41Z,,,,py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,medium,error,CodeQL,2.23.3,CWE-209|CWE-497,external/cwe/cwe-209|external/cwe/cwe-497|security,Stack trace information flows to this location and may be exposed to an external user.,output/benchmark/LLMSecEval/Vanilla/openai/Lse111.py,35,35,refs/heads/master,27da386677f8cba6fc3f16196d49b8685fa21feb,https://api.github.com/repos/mohsystem/llm-generated-code-python-paper3/code-scanning/alerts/694/instances,,medium
mohsystem,llm-generated-code-python-paper3,693,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/693,open,2025-10-27T21:30:41Z,2025-10-27T21:30:41Z,,,,py/stack-trace-exposure,py/stack-trace-exposure,Information exposure through an exception,medium,error,CodeQL,2.23.3,CWE-209|CWE-497,external/cwe/cwe-209|external/cwe/cwe-497|security,Stack trace information flows to this location and may be exposed to an external user.,output/benchmark/LLMSecEval/ZeroShot/openai/Lse111.py,55,55,refs/heads/master,27da386677f8cba6fc3f16196d49b8685fa21feb,https://api.github.com/repos/mohsystem/llm-generated-code-python-paper3/code-scanning/alerts/693/instances,,medium
