number,severity,weaknesses,tags,state,rule_id,tool,created_at,url
686,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/686
685,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/685
684,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/684
683,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/683
682,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/682
681,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/681
680,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/680
679,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/679
678,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/678
677,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/677
676,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/676
675,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/675
674,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/674
673,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/673
672,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/672
671,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/671
670,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/670
669,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/669
668,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/668
667,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/667
666,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/666
665,high,CWE-327|CWE-328|CWE-916,external/cwe/cwe-327|external/cwe/cwe-328|external/cwe/cwe-916|security,open,py/weak-sensitive-data-hashing,CodeQL,2025-10-27T21:30:41Z,https://github.com/mohsystem/llm-generated-code-python-paper3/security/code-scanning/665
